=== TRAIN オノマトペデータセット合成ログ ===
生成時刻: 2025-10-29 18:30:14
目標画像数: 400
    オノマトペ3: 066.png
      元サイズ: 1024x1536
      クロップサイズ: 425x1159
      最終サイズ: 31x85
      配置位置: (135,308)
      スケール: 0.001686
      スケール比: 0.0202
    オノマトペ4: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 39x109
      配置位置: (1367,10)
      スケール: 0.002747
      スケール比: 0.0254
    オノマトペ5: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 35x107
      配置位置: (197,801)
      スケール: 0.002442
      スケール比: 0.0228
    オノマトペ6: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 122x52
      配置位置: (253,942)
      スケール: 0.004073
      スケール比: 0.0794
    オノマトペ7: 061.png
      元サイズ: 1024x1536
      クロップサイズ: 391x1047
      最終サイズ: 31x84
      配置位置: (1232,210)
      スケール: 0.001700
      スケール比: 0.0202
    オノマトペ8: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 59x14
      配置位置: (1203,922)
      スケール: 0.000548
      スケール比: 0.0384
    オノマトペ9: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 42x86
      配置位置: (409,189)
      スケール: 0.002327
      スケール比: 0.0273
    オノマトペ10: 069.png
      元サイズ: 1024x1024
      クロップサイズ: 420x942
      最終サイズ: 38x86
      配置位置: (1373,359)
      スケール: 0.002141
      スケール比: 0.0247
    オノマトペ11: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 110x48
      配置位置: (59,92)
      スケール: 0.003414
      スケール比: 0.0716

画像 372.png:
  背景ファイル: 040.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 1
    オノマトペ1: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 37x20
      配置位置: (568,971)
      スケール: 0.000500
      スケール比: 0.0241

画像 373.png:
  背景ファイル: 041.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 8
    オノマトペ1: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 62x12
      配置位置: (1184,781)
      スケール: 0.000500
      スケール比: 0.0404
    オノマトペ2: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 58x32
      配置位置: (28,541)
      スケール: 0.001209
      スケール比: 0.0378
    オノマトペ3: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 52x60
      配置位置: (444,732)
      スケール: 0.002018
      スケール比: 0.0339
    オノマトペ4: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 43x33
      配置位置: (392,987)
      スケール: 0.000912
      スケール比: 0.0280
    オノマトペ5: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 38x78
      配置位置: (577,175)
      スケール: 0.001911
      スケール比: 0.0247
    オノマトペ6: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 54x30
      配置位置: (1100,4)
      スケール: 0.001041
      スケール比: 0.0352
    オノマトペ7: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 30x98
      配置位置: (1485,101)
      スケール: 0.001922
      スケール比: 0.0195
    オノマトペ8: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 52x158
      配置位置: (438,516)
      スケール: 0.005318
      スケール比: 0.0339

画像 374.png:
  背景ファイル: 042.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 13
    オノマトペ1: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 24x61
      配置位置: (1053,233)
      スケール: 0.000945
      スケール比: 0.0156
    オノマトペ2: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 56x26
      配置位置: (834,115)
      スケール: 0.000964
      スケール比: 0.0365
    オノマトペ3: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 22x61
      配置位置: (643,126)
      スケール: 0.000862
      スケール比: 0.0143
    オノマトペ4: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 40x104
      配置位置: (954,112)
      スケール: 0.002649
      スケール比: 0.0260
    オノマトペ5: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 19x50
      配置位置: (1064,139)
      スケール: 0.000619
      スケール比: 0.0124
    オノマトペ6: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 76x38
      配置位置: (1015,780)
      スケール: 0.001857
      スケール比: 0.0495
    オノマトペ7: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 30x91
      配置位置: (739,721)
      スケール: 0.001767
      スケール比: 0.0195
    オノマトペ8: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 24x46
      配置位置: (590,570)
      スケール: 0.000718
      スケール比: 0.0156
    オノマトペ9: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 71x37
      配置位置: (83,84)
      スケール: 0.001722
      スケール比: 0.0462
    オノマトペ10: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 35x159
      配置位置: (671,505)
      スケール: 0.003653
      スケール比: 0.0228
    オノマトペ11: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 37x20
      配置位置: (236,394)
      スケール: 0.000500
      スケール比: 0.0241
    オノマトペ12: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 92x53
      配置位置: (580,467)
      スケール: 0.003115
      スケール比: 0.0599
    オノマトペ13: 051.png
      元サイズ: 1024x1536
      クロップサイズ: 314x1213
      最終サイズ: 15x58
      配置位置: (1229,753)
      スケール: 0.000570
      スケール比: 0.0098

画像 375.png:
  背景ファイル: 043.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 15
    オノマトペ1: 017.png
      元サイズ: 1024x1024
      クロップサイズ: 906x347
      最終サイズ: 86x33
      配置位置: (367,13)
      スケール: 0.001842
      スケール比: 0.0560
    オノマトペ2: 049.png
      元サイズ: 1024x1536
      クロップサイズ: 352x915
      最終サイズ: 38x99
      配置位置: (1380,503)
      スケール: 0.002400
      スケール比: 0.0247
    オノマトペ3: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 105x40
      配置位置: (1376,107)
      スケール: 0.002700
      スケール比: 0.0684
    オノマトペ4: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 39x90
      配置位置: (811,448)
      スケール: 0.002300
      スケール比: 0.0254
    オノマトペ5: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 80x44
      配置位置: (1070,674)
      スケール: 0.002275
      スケール比: 0.0521
    オノマトペ6: 011.png
      元サイズ: 1024x1024
      クロップサイズ: 787x427
      最終サイズ: 84x45
      配置位置: (244,146)
      スケール: 0.002468
      スケール比: 0.0547
    オノマトペ7: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 68x39
      配置位置: (808,410)
      スケール: 0.001719
      スケール比: 0.0443
    オノマトペ8: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 23x87
      配置位置: (1423,604)
      スケール: 0.001337
      スケール比: 0.0150
    オノマトペ9: 038.png
      元サイズ: 1536x1024
      クロップサイズ: 1045x526
      最終サイズ: 86x43
      配置位置: (208,759)
      スケール: 0.002375
      スケール比: 0.0560
    オノマトペ10: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 22x72
      配置位置: (345,66)
      スケール: 0.001042
      スケール比: 0.0143
    オノマトペ11: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 102x53
      配置位置: (744,203)
      スケール: 0.003490
      スケール比: 0.0664
    オノマトペ12: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 185x46
      配置位置: (1218,864)
      スケール: 0.005480
      スケール比: 0.1204
    オノマトペ13: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 126x98
      配置位置: (827,125)
      スケール: 0.007912
      スケール比: 0.0820
    オノマトペ14: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 40x105
      配置位置: (476,858)
      スケール: 0.002714
      スケール比: 0.0260
    オノマトペ15: 050.png
      元サイズ: 1024x1536
      クロップサイズ: 380x1056
      最終サイズ: 30x84
      配置位置: (869,742)
      スケール: 0.001648
      スケール比: 0.0195

画像 376.png:
  背景ファイル: 044.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 13
    オノマトペ1: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 43x95
      配置位置: (931,110)
      スケール: 0.002611
      スケール比: 0.0280
    オノマトペ2: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 133x73
      配置位置: (250,256)
      スケール: 0.006259
      スケール比: 0.0866
    オノマトペ3: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 24x51
      配置位置: (1002,509)
      スケール: 0.000786
      スケール比: 0.0156
    オノマトペ4: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 102x25
      配置位置: (472,643)
      スケール: 0.001675
      スケール比: 0.0664
    オノマトペ5: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 21x95
      配置位置: (275,30)
      スケール: 0.001316
      スケール比: 0.0137
    オノマトペ6: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 78x60
      配置位置: (203,755)
      スケール: 0.003011
      スケール比: 0.0508
    オノマトペ7: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 124x29
      配置位置: (108,850)
      スケール: 0.002359
      スケール比: 0.0807
    オノマトペ8: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 115x44
      配置位置: (139,510)
      スケール: 0.003245
      スケール比: 0.0749
    オノマトペ9: 048.png
      元サイズ: 1024x1536
      クロップサイズ: 378x1050
      最終サイズ: 17x49
      配置位置: (1388,27)
      スケール: 0.000553
      スケール比: 0.0111
    オノマトペ10: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 94x21
      配置位置: (366,391)
      スケール: 0.001293
      スケール比: 0.0612
    オノマトペ11: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 49x100
      配置位置: (1238,695)
      スケール: 0.003149
      スケール比: 0.0319
    オノマトペ12: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 110x62
      配置位置: (669,156)
      スケール: 0.004372
      スケール比: 0.0716
    オノマトペ13: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 188x59
      配置位置: (620,636)
      スケール: 0.007162
      スケール比: 0.1224

画像 377.png:
  背景ファイル: 045.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 9
    オノマトペ1: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 26x95
      配置位置: (1033,267)
      スケール: 0.001594
      スケール比: 0.0169
    オノマトペ2: 027.png
      元サイズ: 1024x1024
      クロップサイズ: 747x236
      最終サイズ: 122x38
      配置位置: (1110,351)
      スケール: 0.002993
      スケール比: 0.0794
    オノマトペ3: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 31x69
      配置位置: (1107,559)
      スケール: 0.001380
      スケール比: 0.0202
    オノマトペ4: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 25x90
      配置位置: (36,782)
      スケール: 0.001487
      スケール比: 0.0163
    オノマトペ5: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 23x46
      配置位置: (64,440)
      スケール: 0.000700
      スケール比: 0.0150
    オノマトペ6: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 59x32
      配置位置: (243,392)
      スケール: 0.001228
      スケール比: 0.0384
    オノマトペ7: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 136x32
      配置位置: (770,453)
      スケール: 0.002837
      スケール比: 0.0885
    オノマトペ8: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 58x13
      配置位置: (941,36)
      スケール: 0.000503
      スケール比: 0.0378
    オノマトペ9: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 32x106
      配置位置: (67,181)
      スケール: 0.002211
      スケール比: 0.0208

画像 378.png:
  背景ファイル: 046.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 11
    オノマトペ1: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 81x31
      配置位置: (1165,691)
      スケール: 0.001602
      スケール比: 0.0527
    オノマトペ2: 037.png
      元サイズ: 1024x1024
      クロップサイズ: 851x468
      最終サイズ: 90x49
      配置位置: (1004,675)
      スケール: 0.002852
      スケール比: 0.0586
    オノマトペ3: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 48x135
      配置位置: (1134,701)
      スケール: 0.004200
      スケール比: 0.0312
    オノマトペ4: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 18x41
      配置位置: (1104,585)
      スケール: 0.000500
      スケール比: 0.0117
    オノマトペ5: 063.png
      元サイズ: 1024x1536
      クロップサイズ: 414x1159
      最終サイズ: 17x49
      配置位置: (962,487)
      スケール: 0.000562
      スケール比: 0.0111
    オノマトペ6: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 72x48
      配置位置: (1151,874)
      スケール: 0.002224
      スケール比: 0.0469
    オノマトペ7: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 56x30
      配置位置: (320,518)
      スケール: 0.001101
      スケール比: 0.0365
    オノマトペ8: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 61x34
      配置位置: (114,400)
      スケール: 0.001338
      スケール比: 0.0397
    オノマトペ9: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 130x30
      配置位置: (539,506)
      スケール: 0.002493
      スケール比: 0.0846
    オノマトペ10: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 38x75
      配置位置: (1210,386)
      スケール: 0.001858
      スケール比: 0.0247
    オノマトペ11: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 21x61
      配置位置: (1263,692)
      スケール: 0.000844
      スケール比: 0.0137

画像 379.png:
  背景ファイル: 047.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 3
    オノマトペ1: 006.png
      元サイズ: 1024x1536
      クロップサイズ: 913x503
      最終サイズ: 44x24
      配置位置: (125,28)
      スケール: 0.000684
      スケール比: 0.0286
    オノマトペ2: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 42x23
      配置位置: (1209,46)
      スケール: 0.000628
      スケール比: 0.0273
    オノマトペ3: 043.png
      元サイズ: 1536x1024
      クロップサイズ: 876x530
      最終サイズ: 50x30
      配置位置: (262,857)
      スケール: 0.000977
      スケール比: 0.0326

画像 380.png:
  背景ファイル: 048.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 12
    オノマトペ1: 007.png
      元サイズ: 1536x1024
      クロップサイズ: 1033x483
      最終サイズ: 41x19
      配置位置: (1354,250)
      スケール: 0.000500
      スケール比: 0.0267
    オノマトペ2: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 203x41
      配置位置: (507,240)
      スケール: 0.005380
      スケール比: 0.1322
    オノマトペ3: 031.png
      元サイズ: 1024x1024
      クロップサイズ: 818x362
      最終サイズ: 65x29
      配置位置: (1327,319)
      スケール: 0.001217
      スケール比: 0.0423
    オノマトペ4: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 21x56
      配置位置: (1213,86)
      スケール: 0.000787
      スケール比: 0.0137
    オノマトペ5: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 41x22
      配置位置: (1409,67)
      スケール: 0.000603
      スケール比: 0.0267
    オノマトペ6: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 29x88
      配置位置: (624,117)
      スケール: 0.001680
      スケール比: 0.0189
    オノマトペ7: 041.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 100x57
      配置位置: (691,173)
      スケール: 0.003719
      スケール比: 0.0651
    オノマトペ8: 053.png
      元サイズ: 1024x1536
      クロップサイズ: 273x1214
      最終サイズ: 15x69
      配置位置: (40,551)
      スケール: 0.000681
      スケール比: 0.0098
    オノマトペ9: 052.png
      元サイズ: 1024x1536
      クロップサイズ: 345x1196
      最終サイズ: 36x127
      配置位置: (667,38)
      スケール: 0.002982
      スケール比: 0.0234
    オノマトペ10: 002.png
      元サイズ: 1536x1024
      クロップサイズ: 1143x657
      最終サイズ: 130x74
      配置位置: (943,673)
      スケール: 0.006211
      スケール比: 0.0846
    オノマトペ11: 056.png
      元サイズ: 1024x1536
      クロップサイズ: 329x1082
      最終サイズ: 51x169
      配置位置: (865,581)
      スケール: 0.005550
      スケール比: 0.0332
    オノマトペ12: 054.png
      元サイズ: 1024x1536
      クロップサイズ: 341x1108
      最終サイズ: 46x149
      配置位置: (1054,431)
      スケール: 0.004397
      スケール比: 0.0299

画像 381.png:
  背景ファイル: 049.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 1
    オノマトペ1: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 36x75
      配置位置: (41,712)
      スケール: 0.001736
      スケール比: 0.0234

画像 382.png:
  背景ファイル: 050.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 13
    オノマトペ1: 078.png
      元サイズ: 1024x1024
      クロップサイズ: 348x881
      最終サイズ: 21x53
      配置位置: (1382,210)
      スケール: 0.000729
      スケール比: 0.0137
    オノマトペ2: 040.png
      元サイズ: 1536x1024
      クロップサイズ: 1233x524
      最終サイズ: 134x57
      配置位置: (688,508)
      スケール: 0.004880
      スケール比: 0.0872
    オノマトペ3: 039.png
      元サイズ: 1536x1024
      クロップサイズ: 1252x434
      最終サイズ: 78x27
      配置位置: (1029,830)
      スケール: 0.001352
      スケール比: 0.0508
    オノマトペ4: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 49x94
      配置位置: (1366,347)
      スケール: 0.002965
      スケール比: 0.0319
    オノマトペ5: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 85x47
      配置位置: (341,629)
      スケール: 0.002587
      スケール比: 0.0553
    オノマトペ6: 081.png
      元サイズ: 1024x1024
      クロップサイズ: 851x474
      最終サイズ: 45x25
      配置位置: (613,372)
      スケール: 0.000721
      スケール比: 0.0293
    オノマトペ7: 067.png
      元サイズ: 1024x1024
      クロップサイズ: 837x951
      最終サイズ: 26x30
      配置位置: (892,206)
      スケール: 0.000522
      スケール比: 0.0169
    オノマトペ8: 064.png
      元サイズ: 1024x1536
      クロップサイズ: 412x1144
      最終サイズ: 25x71
      配置位置: (1017,650)
      スケール: 0.001159
      スケール比: 0.0163
    オノマトペ9: 080.png
      元サイズ: 1024x1536
      クロップサイズ: 410x1227
      最終サイズ: 25x77
      配置位置: (154,860)
      スケール: 0.001278
      スケール比: 0.0163
    オノマトペ10: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 93x23
      配置位置: (1097,219)
      スケール: 0.001393
      スケール比: 0.0605
    オノマトペ11: 024.png
      元サイズ: 1024x1024
      クロップサイズ: 804x185
      最終サイズ: 160x36
      配置位置: (588,271)
      スケール: 0.003761
      スケール比: 0.1042
    オノマトペ12: 056.png
      元サイズ: 1024x1536
      クロップサイズ: 329x1082
      最終サイズ: 39x129
      配置位置: (97,304)
      スケール: 0.003254
      スケール比: 0.0254
    オノマトペ13: 025.png
      元サイズ: 1024x1024
      クロップサイズ: 854x174
      最終サイズ: 138x28
      配置位置: (1174,411)
      スケール: 0.002500
      スケール比: 0.0898

画像 383.png:
  背景ファイル: 051.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 8
    オノマトペ1: 042.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 107x41
      配置位置: (1087,486)
      スケール: 0.002837
      スケール比: 0.0697
    オノマトペ2: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 20x38
      配置位置: (874,214)
      スケール: 0.000500
      スケール比: 0.0130
    オノマトペ3: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 27x102
      配置位置: (711,814)
      スケール: 0.001821
      スケール比: 0.0176
    オノマトペ4: 047.png
      元サイズ: 1024x1536
      クロップサイズ: 434x1124
      最終サイズ: 65x169
      配置位置: (157,667)
      スケール: 0.007074
      スケール比: 0.0423
    オノマトペ5: 083.png
      元サイズ: 1024x1024
      クロップサイズ: 773x438
      最終サイズ: 90x51
      配置位置: (618,516)
      スケール: 0.002970
      スケール比: 0.0586
    オノマトペ6: 057.png
      元サイズ: 1024x1536
      クロップサイズ: 344x1096
      最終サイズ: 21x69
      配置位置: (614,443)
      スケール: 0.000978
      スケール比: 0.0137
    オノマトペ7: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 55x30
      配置位置: (1358,552)
      スケール: 0.001084
      スケール比: 0.0358
    オノマトペ8: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 56x14
      配置位置: (641,204)
      スケール: 0.000500
      スケール比: 0.0365

画像 384.png:
  背景ファイル: 052.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 8
    オノマトペ1: 045.png
      元サイズ: 1536x1024
      クロップサイズ: 951x500
      最終サイズ: 58x31
      配置位置: (38,642)
      スケール: 0.001162
      スケール比: 0.0378
    オノマトペ2: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 125x31
      配置位置: (1057,883)
      スケール: 0.002501
      スケール比: 0.0814
    オノマトペ3: 019.png
      元サイズ: 1024x1024
      クロップサイズ: 363x746
      最終サイズ: 19x40
      配置位置: (382,590)
      スケール: 0.000500
      スケール比: 0.0124
    オノマトペ4: 056.png
      元サイズ: 1024x1536
      クロップサイズ: 329x1082
      最終サイズ: 33x109
      配置位置: (1022,218)
      スケール: 0.002318
      スケール比: 0.0215
    オノマトペ5: 023.png
      元サイズ: 1024x1024
      クロップサイズ: 816x196
      最終サイズ: 70x16
      配置位置: (1353,985)
      スケール: 0.000760
      スケール比: 0.0456
    オノマトペ6: 077.png
      元サイズ: 1024x1024
      クロップサイズ: 387x747
      最終サイズ: 33x64
      配置位置: (957,274)
      スケール: 0.001381
      スケール比: 0.0215
    オノマトペ7: 008.png
      元サイズ: 1024x1536
      クロップサイズ: 860x476
      最終サイズ: 92x51
      配置位置: (1306,545)
      スケール: 0.002999
      スケール比: 0.0599
    オノマトペ8: 074.png
      元サイズ: 1024x1024
      クロップサイズ: 448x856
      最終サイズ: 25x49
      配置位置: (1258,873)
      スケール: 0.000804
      スケール比: 0.0163

画像 385.png:
  背景ファイル: 053.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 2
    オノマトペ1: 060.png
      元サイズ: 1024x1536
      クロップサイズ: 509x1141
      最終サイズ: 33x76
      配置位置: (1069,205)
      スケール: 0.001639
      スケール比: 0.0215
    オノマトペ2: 020.png
      元サイズ: 1024x1024
      クロップサイズ: 233x673
      最終サイズ: 34x100
      配置位置: (746,473)
      スケール: 0.002225
      スケール比: 0.0221

画像 386.png:
  背景ファイル: 054.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 4
    オノマトペ1: 009.png
      元サイズ: 1024x1536
      クロップサイズ: 884x488
      最終サイズ: 81x45
      配置位置: (891,420)
      スケール: 0.002355
      スケール比: 0.0527
    オノマトペ2: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 41x32
      配置位置: (652,880)
      スケール: 0.000856
      スケール比: 0.0267
    オノマトペ3: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 40x27
      配置位置: (131,649)
      スケール: 0.000703
      スケール比: 0.0260
    オノマトペ4: 003.png
      元サイズ: 1536x1024
      クロップサイズ: 1054x404
      最終サイズ: 85x32
      配置位置: (416,866)
      スケール: 0.001795
      スケール比: 0.0553

画像 387.png:
  背景ファイル: 055.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 3
    オノマトペ1: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 30x70
      配置位置: (1323,164)
      スケール: 0.001380
      スケール比: 0.0195
    オノマトペ2: 068.png
      元サイズ: 1024x1024
      クロップサイズ: 442x931
      最終サイズ: 29x62
      配置位置: (525,703)
      スケール: 0.001174
      スケール比: 0.0189
    オノマトペ3: 035.png
      元サイズ: 1024x1024
      クロップサイズ: 845x465
      最終サイズ: 37x20
      配置位置: (1231,241)
      スケール: 0.000500
      スケール比: 0.0241

画像 388.png:
  背景ファイル: 056.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 10
    オノマトペ1: 022.png
      元サイズ: 1024x1024
      クロップサイズ: 787x197
      最終サイズ: 56x14
      配置位置: (950,497)
      スケール: 0.000500
      スケール比: 0.0365
    オノマトペ2: 033.png
      元サイズ: 1024x1024
      クロップサイズ: 800x620
      最終サイズ: 35x27
      配置位置: (1146,446)
      スケール: 0.000605
      スケール比: 0.0228
    オノマトペ3: 016.png
      元サイズ: 1024x1024
      クロップサイズ: 281x792
      最終サイズ: 33x93
      配置位置: (864,662)
      スケール: 0.001976
      スケール比: 0.0215
    オノマトペ4: 013.png
      元サイズ: 1024x1024
      クロップサイズ: 702x473
      最終サイズ: 60x40
      配置位置: (75,206)
      スケール: 0.001565
      スケール比: 0.0391
    オノマトペ5: 021.png
      元サイズ: 1024x1024
      クロップサイズ: 249x910
      最終サイズ: 26x97
      配置位置: (326,279)
      スケール: 0.001649
      スケール比: 0.0169
    オノマトペ6: 058.png
      元サイズ: 1024x1536
      クロップサイズ: 362x1026
      最終サイズ: 28x80
      配置位置: (279,29)
      スケール: 0.001438
      スケール比: 0.0182
    オノマトペ7: 034.png
      元サイズ: 1024x1024
      クロップサイズ: 857x471
      最終サイズ: 123x67
      配置位置: (529,808)
      スケール: 0.005325
      スケール比: 0.0801
    オノマトペ8: 072.png
      元サイズ: 1024x1024
      クロップサイズ: 443x880
      最終サイズ: 24x47
      配置位置: (568,674)
      スケール: 0.000733
      スケール比: 0.0156
    オノマトペ9: 076.png
      元サイズ: 1024x1024
      クロップサイズ: 367x838
      最終サイズ: 54x123
      配置位置: (1127,180)
      スケール: 0.004252
      スケール比: 0.0352
    オノマトペ10: 079.png
      元サイズ: 1024x1024
      クロップサイズ: 428x946
      最終サイズ: 38x85
      配置位置: (1319,872)
      スケール: 0.002101
      スケール比: 0.0247

画像 389.png:
  背景ファイル: 057.png
  背景サイズ: 1536x1024
  配置したオノマトペ数: 5
    オノマトペ1: 066.png
      元サイズ: 1024x1536
